Date,Postcode,Latitude,Longitude,municipality,Cases_14_days,tasa_incidencia_14dias_100mil_hab,Cases,tasa_incidencia_100mil_hab
2020-04-08,28008,40.321012,-4.199081,Aldea del Fresno,14,464,27,895
2020-04-08,28035,40.256641,-3.237540,Carabaña,≤ 5,286,10,572
2020-04-08,28145,40.744542,-3.510573,Talamanca de Jarama,11,351,18,575
2020-04-08,28051,40.379061,-4.211175,Chapinería,≤ 5,131,6,262
2020-04-08,28040,40.157866,-3.619401,Ciempozuelos,57,222,141,549
2020-04-08,28131,40.593132,-4.147585,San Lorenzo de El Escorial,25,141,53,299
2020-04-08,28064,41.017979,-3.642831,Gascones,≤ 5,0,≤ 5,0
2020-04-08,28132,40.210065,-3.578776,San Martín de la Vega,29,142,57,280
2020-04-08,28092,40.322747,-3.867568,Móstoles,823,377,1294,592
2020-04-08,28074,40.332992,-3.767057,Leganés,1318,669,2200,1117
2020-04-08,28024,41.040239,-3.642883,Braojos,≤ 5,621,≤ 5,1242
2020-04-08,28050,40.190987,-3.837003,Cubas de la Sagra,6,108,14,252
2020-04-08,28009,40.596929,-3.500693,Algete,57,257,74,333
2020-04-08,28084,40.396097,-3.487604,Mejorada del Campo,74,302,139,567
2020-04-08,28075,40.383915,-3.416133,Loeches,30,433,44,635
2020-04-08,28106,40.238480,-3.768467,Parla,297,217,563,412
2020-04-08,28060,40.118953,-3.161255,Fuentidueña de Tajo,≤ 5,252,16,807
2020-04-08,28011,40.328413,-3.182015,Ambite,≤ 5,601,≤ 5,1002
2020-04-08,28153,40.842084,-3.494775,Torremocha de Jarama,≤ 5,0,≤ 5,249
2020-04-08,28012,40.464692,-3.269009,Anchuelo,≤ 5,131,6,785
2020-04-08,28087,40.710241,-4.075649,Los Molinos,16,399,33,824
2020-04-08,28144,40.752623,-3.781456,Soto del Real,33,337,49,500
2020-04-08,28166,40.419636,-3.299577,Valverde de Alcalá,≤ 5,1128,6,2256
2020-04-08,28059,40.635159,-3.510667,Fuente el Saz de Jarama,13,152,19,222
